username,email,full_name,password,role,is_active
lt.user.001,lt.user.001@docflow.test,Phạm Văn Nga,Temp@123,user,true
lt.user.002,lt.user.002@docflow.test,Vũ Hoài Hoa,Temp@123,user,true
lt.user.003,lt.user.003@docflow.test,Phạm Hữu Thắng,Temp@123,user,true
lt.user.004,lt.user.004@docflow.test,Trần Văn Hải,Temp@123,user,true
lt.user.005,lt.user.005@docflow.test,Phan Hoài Bình,Temp@123,user,true
lt.user.006,lt.user.006@docflow.test,Phan Phương Mai,Temp@123,user,true
lt.user.007,lt.user.007@docflow.test,Dương Ngọc An,Temp@123,user,true
lt.user.008,lt.user.008@docflow.test,Huỳnh Phương Phú,Temp@123,user,true
lt.user.009,lt.user.009@docflow.test,Võ Quang Long,Temp@123,user,true
lt.user.010,lt.user.010@docflow.test,Bùi Đức Hải,Temp@123,user,true
lt.user.011,lt.user.011@docflow.test,Hồ Đức Quân,Temp@123,user,true
lt.user.012,lt.user.012@docflow.test,Đỗ Ngọc Cường,Temp@123,user,true
lt.user.013,lt.user.013@docflow.test,Dương Đức Sơn,Temp@123,user,true
lt.user.014,lt.user.014@docflow.test,Lê Thu Quỳnh,Temp@123,user,true
lt.user.015,lt.user.015@docflow.test,Phan Hữu Cường,Temp@123,user,true
lt.user.016,lt.user.016@docflow.test,Vũ Thu Hải,Temp@123,user,true
lt.user.017,lt.user.017@docflow.test,Vũ Đức Sơn,Temp@123,user,true
lt.user.018,lt.user.018@docflow.test,Võ Tuấn Quỳnh,Temp@123,user,true
lt.user.019,lt.user.019@docflow.test,Huỳnh Bảo Quân,Temp@123,user,true
lt.user.020,lt.user.020@docflow.test,Phan Ngọc Hà,Temp@123,user,true
lt.user.021,lt.user.021@docflow.test,Huỳnh Hoài Khánh,Temp@123,user,true
lt.user.022,lt.user.022@docflow.test,Dương Anh Nga,Temp@123,user,true
lt.user.023,lt.user.023@docflow.test,Vũ Hồng Dũng,Temp@123,user,true
lt.user.024,lt.user.024@docflow.test,Vũ Thị Phong,Temp@123,user,true
lt.user.025,lt.user.025@docflow.test,Hồ Ngọc Hà,Temp@123,user,true
lt.user.026,lt.user.026@docflow.test,Phan Hồng Long,Temp@123,user,true
